12;trightgroup
5;trightreview
3;tsearchlog
1;tsearchresult
1;tsearchtmp
1;tsequentialcounter
4;tsilo
3;tsodmatrix
6;tsodmatrixpair
1;tsoftware
1;tsoftwarevariable
5;tsupport
2;ttemporalcriteria
4;ttheoricalpermission
7;ttheoricalright
1;tticketaction
2;tticketlink
1;tticketlog
2;tticketmitigation
2;tticketreview
4;ttitle
1;tuploadfile
9;tusage
2;tuserdata
2;tuservariable
5;tvaccountgroup
2;tvgroup
3;twork
2;tworkflowexec
